"","RadolanGT10mm","RadolanSum","RadolanMax","K_factor","L_factor","S_factor","NDVI","Erosion_class","Phase","Eroding"
"169",4,1352,512,0.326993437,3.435559227,1.406292032,0.477430492639542,"2",12,"Eroded"
"170",8,1772,604,0.25045789,2.706640856,1.805953306,0.594309836626053,"1",12,"Eroded"
"171",4,1940,824,0.25697202,2.524824374,1.70950201,0.388055503368378,"3",12,"Eroded"
"172",2,348,258,0.349039775,2.074838134,0.867841159,0.797451674938202,"0",67,"Non-eroded"
"173",4,519,261.5,0.301672011,2.140115151,1.890055294,0.788147881627083,"0",67,"Non-eroded"
"174",4,502,238,0.326869809,2.916348191,1.157961386,0.829169124364852,"0",67,"Non-eroded"
"175",4,520,242,0.333856578,1.792353883,1.753631833,0.609700798988342,"0",67,"Non-eroded"
"176",4,522,258,0.300000012,2.510557524,1.854843285,0.633684694766998,"0",67,"Non-eroded"
"177",4,520,242,0.300000012,1.968850744,0.827308736,0.616563439369202,"0",67,"Non-eroded"
"178",4,522,258,0.300000012,2.379802593,0.825002705,0.733659327030182,"0",67,"Non-eroded"
"179",2,344,194,0.430804475,3.016623422,1.202206253,0.693205267190933,"1",12,"Eroded"
"180",2,344,194,0.471311985,2.351279973,0.614967179,0.629984438419342,"3",12,"Eroded"
"181",1,299,265.5,0.438516594,2.07864281,1.008013584,0.557466506958008,"3",67,"Eroded"
"182",1,395,362,0.495857806,2.800899847,0.739067008,0.592889368534088,"3",67,"Eroded"
"183",1,280,248,0.466037658,2.532085167,1.052864186,0.585977613925934,"3",67,"Eroded"
"184",1,363,328,0.472384879,2.049376805,0.797635784,0.843436717987061,"3",67,"Eroded"
"185",1,363,328,0.51136784,1.810045471,0.89486869,0.756678521633148,"3",67,"Eroded"
"186",1,331,299,0.447768992,2.571620412,1.201945807,0.725057870149612,"3",67,"Eroded"
"187",2,367,236,0.509421334,2.229032686,0.484158202,0.526176512241364,"0",67,"Non-eroded"
"188",2,367,236,0.500042517,1.613698977,0.381108036,0.558670163154602,"0",67,"Non-eroded"
"189",2,376,240,0.400000006,0.593609512,0.172367514,0.690852582454681,"0",67,"Non-eroded"
"190",2,368,238.5,0.547787126,2.641510364,0.558012836,0.53012090921402,"0",67,"Non-eroded"
"191",2,376,240,0.463393942,1.459936969,0.919063592,0.700781464576721,"0",67,"Non-eroded"
"192",2,376,240,0.499365583,0.808817206,0.207341772,0.668688118457794,"0",67,"Non-eroded"
"193",2,346,204,0.446173973,2.474295617,0.583462782,0.621300578117371,"1",67,"Eroded"
"194",2,401,270,0.499488189,0.446907084,0.18240051,0.802159905433655,"0",67,"Non-eroded"
"195",2,376,240,0.5,0.749186465,0.22733652,0.685021370649338,"0",67,"Non-eroded"
"196",2,342,204.5,0.458740502,2.1825114,0.825322884,0.62697446346283,"0",67,"Non-eroded"
"197",0,153,83,0.537788171,2.769952647,0.607470102,0.575335443019867,"1",67,"Eroded"
"198",0,151,73,0.465541713,2.667816543,1.503400805,0.632163316011429,"2",67,"Eroded"
"199",2,284,147,0.485939372,2.821269857,0.959792543,0.708442196249962,"0",67,"Non-eroded"
"200",2,378,254,0.339741713,2.731222169,0.609722218,0.616576671600342,"3",67,"Eroded"
"201",2,372.5,247.5,0.496864452,3.047985259,0.892153917,0.619155764579773,"3",67,"Eroded"
"202",1,337,222,0.320096002,3.870630136,1.566455392,0.643176198005676,"2",67,"Eroded"
"203",2,301,159,0.491079366,3.057916509,0.82541337,0.824356853961945,"2",12,"Eroded"
"204",2,301,159,0.532915069,2.178494202,0.937032659,0.862988173961639,"2",12,"Eroded"
"205",2,315,175,0.482318113,2.565263111,0.842594382,0.624985814094543,"3",12,"Eroded"
"206",2,307,155,0.513947913,3.859448942,0.977746174,0.420588940382004,"2",12,"Eroded"
"207",4,614,310,0.494384769,2.666858397,0.95581813,0.491602957248688,"1",12,"Eroded"
"208",2,319,175,0.500715043,3.129863638,1.386993135,0.639526665210724,"2",12,"Eroded"
"209",2,319,170,0.499621212,2.134977275,1.445187896,0.41823735833168,"1",12,"Eroded"
"210",2,321,167,0.50277455,2.597851248,0.881299905,0.400087505578995,"3",12,"Eroded"
"211",2,301,159,0.550000012,2.498784563,0.910704629,0.820479094982147,"0",12,"Non-eroded"
"212",2,297,164,0.549045191,2.94617187,0.665239133,0.722695261240005,"0",12,"Non-eroded"
"213",2,297,164,0.397821986,2.70837951,0.926175714,0.778848171234131,"1",12,"Eroded"
"214",2,315,175,0.545440262,2.084988992,0.497401212,0.501981347799301,"1",12,"Eroded"
"215",2,305.5,160.5,0.464977632,2.951196705,1.111814787,0.608849972486496,"1",12,"Eroded"
"216",2,304,162,0.422702707,2.379754957,0.842581776,0.521925508975983,"0",12,"Non-eroded"
"217",2,315,175,0.444427171,2.664600131,0.853654661,0.493198499083519,"2",12,"Eroded"
"218",2,319,170,0.486994299,2.852297041,0.801582225,0.570003718137741,"2",12,"Eroded"
"219",2,315,175,0.521322075,2.847717686,0.711727177,0.75352931022644,"1",12,"Eroded"
"220",1,283,133,0.472145671,1.718396653,0.835613927,0.183804050087929,"2",12,"Eroded"
"221",2,275,154,0.301669934,0.337250649,0.158581846,0.450885832309723,"0",12,"Non-eroded"
"222",2,278,154,0.499823899,2.585072455,0.65659359,0.616265296936035,"2",12,"Eroded"
"223",2,275,154,0.5,2.387670389,0.632926614,0.798097759485245,"1",12,"Eroded"
"224",2,275,154,0.301501295,0.363624462,0.14047296,0.584854871034622,"0",12,"Non-eroded"
"225",1,283,148,0.494196429,2.255886673,0.836101385,0.200297355651855,"1",12,"Eroded"
"226",1,253,115,0.497386134,2.849042405,0.705959417,0.191915646195412,"2",12,"Eroded"
"227",1,283,148,0.496976448,2.827719291,1.830174834,0.223050475120544,"1",12,"Eroded"
"228",1,286.5,143,0.5,2.276615288,1.437502364,0.207072123885155,"1",12,"Eroded"
"229",1,283,133,0.400000006,2.15280664,1.081264817,0.189679756760597,"3",12,"Eroded"
"230",2,290,169,0.459473969,0.277015028,0.115885674,0.45989990234375,"0",12,"Non-eroded"
"231",2,287.5,167,0.411599863,0.404533521,0.168875475,0.450700804591179,"0",12,"Non-eroded"
"232",2,287.5,167,0.359715477,0.291059332,0.127803049,0.437347158789635,"0",12,"Non-eroded"
"233",2,268.5,139,0.500124417,2.81875718,0.551647615,0.258614063262939,"2",12,"Eroded"
"234",2,290,169,0.455698425,0.456397426,0.151287871,0.478383049368858,"0",12,"Non-eroded"
"235",1,253,115,0.499209968,2.455112597,1.002402935,0.167818948626518,"1",12,"Eroded"
"236",2,325,173,0.499007718,0.408051266,0.144449598,0.765709459781647,"0",12,"Non-eroded"
"237",2,317,151,0.5,3.071685325,1.029754486,0.610101580619812,"0",12,"Non-eroded"
"238",2,345,183,0.484799445,0.446740455,0.175817265,0.45388787984848,"0",12,"Non-eroded"
"239",1,270,131,0.468317347,3.204415866,1.25309927,0.573853731155396,"1",12,"Eroded"
"240",2,290,169,0.250153218,0.250372827,0.114058205,0.364604383707047,"0",12,"Non-eroded"
"241",1,283,148,0.499387255,2.516860292,1.25072231,0.172696620225906,"3",12,"Eroded"
"242",2,285,165,0.300000012,0.382497436,0.130808983,0.526326715946198,"0",12,"Non-eroded"
"243",1,263,106,0.499143207,1.787916767,0.5283566,0.169764675199986,"2",12,"Eroded"
"244",1,290,138,0.400000006,2.232559168,1.586502574,0.226423799991608,"2",12,"Eroded"
"245",2,290,169,0.457212408,0.252665343,0.117652653,0.404896110296249,"0",12,"Non-eroded"
"246",2,344,194,0.496310403,3.046789097,1.110354996,0.644242703914642,"0",12,"Non-eroded"
"247",2,327,179.5,0.533645667,3.234381844,1.090347809,0.592315316200256,"0",12,"Non-eroded"
"248",2,320,180,0.549399669,0.924462261,0.209806085,0.46921968460083,"0",12,"Non-eroded"
"249",2,320,180,0.549831093,0.509513933,0.153404456,0.580445140600204,"0",12,"Non-eroded"
"250",2,338,191,0.550000012,3.231441304,0.962465289,0.773480474948883,"1",12,"Eroded"
"251",1,282,195,0.550000012,0.465002751,0.147375422,0.304037630558014,"2",12,"Eroded"
"252",2,346,193,0.5,3.15907744,0.695625598,0.674829065799713,"2",12,"Eroded"
"253",2,344,194,0.532392788,2.423447706,1.541733749,0.674449890851974,"3",12,"Eroded"
"254",2,349,193,0.385546727,2.71998184,1.10347022,0.470007091760635,"2",12,"Eroded"
"255",1.5,294.5,189.5,0.550000012,0.451407682,0.153863863,0.417205035686493,"0",12,"Non-eroded"
"256",2,325,174,0.497669173,2.295606768,1.00454404,0.794336497783661,"1",12,"Eroded"
"257",2,330,178,0.550000012,2.423819725,0.705413528,0.597649812698364,"1",12,"Eroded"
"258",2,330,178,0.547319359,1.241307689,0.302970141,0.549131333827972,"0",12,"Non-eroded"
"259",2,325,174,0.475137022,2.308514946,1.552098292,0.580765545368195,"1",12,"Eroded"
"260",2,325,174,0.498446328,3.070479521,1.214835329,0.633812546730042,"1",12,"Eroded"
"261",2,309,173,0.49059159,2.212609718,1.570323048,0.757480546832084,"1",12,"Eroded"
"262",2,293,175,0.440979382,3.571192007,1.744511546,0.650894403457642,"3",12,"Eroded"
"263",2,303.5,182.5,0.550000012,1.65511158,0.459132836,0.477923572063446,"2",12,"Eroded"
"264",0,206,90,0.4823201,2.98726241,1.064968468,0.258990079164505,"0",12,"Non-eroded"
"265",0,206,90,0.5,3.855913295,0.856013012,0.188535705208778,"1",12,"Eroded"
"266",0,206,90,0.485185186,3.382661092,1.26975064,0.2609543800354,"3",12,"Eroded"
"267",0,206,90,0.5,2.682974595,0.759162138,0.271096676588058,"2",12,"Eroded"
"268",0,210,81,0.499724682,2.822342705,0.938610733,0.175515606999397,"3",12,"Eroded"
"269",0,210,81,0.503718493,2.685452062,0.981494272,0.163635537028313,"3",12,"Eroded"
"270",1,221,109,0.5,0.391187736,0.224199133,0.304482817649841,"0",12,"Non-eroded"
"271",0,198,82,0.550000012,1.928643013,0.448451675,0.201660178601742,"1",12,"Eroded"
"272",0,182,70,0.400000006,0.462963076,0.23564119,0.223812431097031,"0",12,"Non-eroded"
"273",0,206,90,0.497395422,3.296208364,1.528524491,0.28026507794857,"3",12,"Eroded"
"274",0,198,82,0.495641448,2.99719984,0.936345137,0.228657804429531,"1",12,"Eroded"
"275",1,250,112,0.499795868,2.716021644,1.183117782,0.491000205278397,"2",12,"Eroded"
"276",2,317,151,0.468044695,2.393531841,2.574845828,0.698355495929718,"0",12,"Non-eroded"
"277",2,317,151,0.5,2.27742418,0.764287412,0.194200187921524,"2",12,"Eroded"
"278",0,206,90,0.486627044,2.466138189,0.642794072,0.290721163153648,"3",12,"Eroded"
"279",0,232,89,0.474290401,2.701680128,0.784061749,0.242356151342392,"1",12,"Eroded"
"280",1,270,127,0.422300618,2.565321473,0.960692696,0.213412195444107,"3",12,"Eroded"
"281",1,270,127,0.499914749,2.515041778,2.214637542,0.222672671079636,"2",12,"Eroded"
"282",1,270,127,0.446754472,3.592352769,1.383497879,0.189348697662354,"3",12,"Eroded"
"283",1,252,144,0.499345238,2.372422858,0.994621318,0.174449101090431,"3",12,"Eroded"
"284",1,231,132,0.5,2.820667433,1.590368645,0.168440520763397,"3",12,"Eroded"
"285",1,265,137,0.5,2.701880932,0.73221069,0.158136300742626,"3",12,"Eroded"
"286",1,231,132,0.5,1.851294223,1.604902562,0.170033574104309,"2",12,"Eroded"
"287",1,252,144,0.497404844,1.835604673,1.259742574,0.192295357584953,"2",12,"Eroded"
"288",1,252,144,0.497491736,2.829033245,0.967153935,0.176839269697666,"3",12,"Eroded"
"289",1,231,132,0.5,2.265345324,1.172205925,0.173957243561745,"3",12,"Eroded"
"290",1,231,132,0.5,3.052984055,1.709801305,0.156403295695782,"3",12,"Eroded"
"291",1,251,126,0.470072994,2.574399634,2.234952097,0.20228835940361,"2",12,"Eroded"
